"SeriesCode","Year","DESCRIPTION",
"IC.CUS.DURS.EX","YR2003    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2003","Interpolated using data for 2002 and 2007.",
"IC.TAX.METG","YR2004    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2004","Interpolated using data for 2002 and 2007.",
"IC.GOV.DURS.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.BNKS.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.CUS.DURS.EX","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.DURS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FEMO.ZS","YR2004    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.BNKS.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.CUS.DURS.EX","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.DURS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2005","Interpolated using data for 2002 and 2007.",
"IC.FRM.FEMO.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.TAX.METG","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.GOV.DURS.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2005    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FEMO.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2006","Interpolated using data for 2002 and 2007.",
"IC.FRM.DURS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.CUS.DURS.EX","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.TAX.METG","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.BNKS.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.GOV.DURS.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2006    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FREG.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.OUTG.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.FEMO.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2007","The data refer to 2005-2010.",
"IC.CUS.DURS.EX","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.DURS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.TAX.METG","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.TRNG.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.BNKS.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CRIM.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.GOV.DURS.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"IC.FRM.CORR.ZS","YR2007    ","The sample was drawn from the manufacturing sector only.",
"SP.ADO.TFRT","YR2008","Interpolated using data for 2007 and 2012.",
"SP.ADO.TFRT","YR2009","Interpolated using data for 2007 and 2012.",
"SP.DYN.WFRT","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONU.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.DYN.CONM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.UWT.TFRT","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MLR.NETS.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MLR.TRET.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.ADO.TFRT","YR2010","Interpolated using data for 2007 and 2012.",
"SN.ITK.SALT.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SP.REG.BRTH.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ORCF.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.BRTC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.FPL.SATM.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.BFED.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MED.NUMW.P3","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.MED.PHYS.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ANVC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SH.STA.ARIC.ZS","YR2010","Averages for regions/groups are based on country-level data around 2010.",
"SN.ITK.VITA.ZS","YR2011","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (January–June) and round 2 (July–December) of 2011).",
"SP.ADO.TFRT","YR2011","Interpolated using data for 2007 and 2012.",
"SH.CON.1524.FE.ZS","YR2012","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SH.MED.CMHW.P3","YR2012","Averages for regions/groups are based on most recent available country-level data (2009-).",
"SN.ITK.VITA.ZS","YR2012","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (January–June) and round 2 (July–December) of 2012).",
"SH.CON.1524.MA.ZS","YR2012","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SP.ADO.TFRT","YR2012","The data refer to 2010-2015.",
"SN.ITK.VITA.ZS","YR2013","Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between semester 1 (January–June) and semester 2 (July–December) of 2013).  Data are only presented for VAS priority countries.",
"SP.ADO.TFRT","YR2013","Interpolated using data for 2012 and 2017.",
"SP.ADO.TFRT","YR2014","Interpolated using data for 2012 and 2017.",
"SP.REG.DTHS.ZS","YR2015","Averages for regions/groups are based on most recent available country-level data (2008-).",
"SP.ADO.TFRT","YR2015","Interpolated using data for 2012 and 2017.",
"ER.PTD.TOTL.ZS","YR2016","Reflects data that was available in the Protected Planet API in January 2017.",
"ER.MRN.PTMR.ZS","YR2016","Reflects data that was available in the Protected Planet API in January 2017.",
"ER.LND.PTLD.ZS","YR2016","Reflects data that was available in the Protected Planet API in January 2017.",
"SP.ADO.TFRT","YR2016","Interpolated using data for 2012 and 2017.",
"ER.LND.PTLD.ZS","YR2017","Reflects data that was available in the Protected Planet API in August 2018.",
"ER.MRN.PTMR.ZS","YR2017","Reflects data that was available in the Protected Planet API in August 2018.",
"ER.PTD.TOTL.ZS","YR2017","Reflects data that was available in the Protected Planet API in August 2018.",
"SH.MED.NUMW.P3","YR2017","Averages for regions/groups are based on most recent available country-level data (2013-).",
"SH.MED.PHYS.ZS","YR2017","Averages for regions/groups are based on most recent available country-level data (2013-).",
"SP.ADO.TFRT","YR2017","The data refer to 2015-2020.",
"SP.ADO.TFRT","YR2018","Interpolated using data for 2017 and 2022.",
"SH.STA.ARIC.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.DYN.WFRT","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"ER.LND.PTLD.ZS","YR2018","Reflects data that was available in the Protected Planet API in March 2019.",
"ER.MRN.PTMR.ZS","YR2018","Reflects data that was available in the Protected Planet API in March 2019.",
"ER.PTD.TOTL.ZS","YR2018","Reflects data that was available in the Protected Planet API in March 2019.",
"SP.REG.BRTH.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.ORCF.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SN.ITK.SALT.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.FPL.SATM.ZS","YR2018","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.ADO.TFRT","YR2019","Interpolated using data for 2017 and 2022.",
"SH.STA.ANVC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.MLR.TRET.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SH.MLR.NETS.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.DYN.CONM.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.BFED.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2016-).",
"SP.DYN.CONU.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SH.STA.BRTC.ZS","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.UWT.TFRT","YR2019","Averages for regions/groups are based on most recent available country-level data (2015-).",
"SP.ADO.TFRT","YR2020","Interpolated using data for 2017 and 2022.",
"SH.STA.WAST.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.WAST.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.ME.ZS","YR2020","The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height, weight and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.",
"SH.STA.STNT.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.STNT.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.ME.ZS","YR2020","The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height, weight and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.",
"SH.STA.OWGH.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.OWGH.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.MALN.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.MALN.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.MALN.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.STA.WAST.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.FE.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.MA.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"SH.SVR.WAST.ZS","YR2020","The estimates for the year 2020 do not account for the impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies.",
"DT.DOD.PVLX.CD","YR2020","Present value calculations for these countries are for public and publicly guaranteed debt only.",
